wavelength_nm,psi_deg,delta_deg
3.000000000000000000e+02,3.945040977985915021e+01,-6.208717742621296765e+01
3.020000000000000000e+02,3.985496229198542295e+01,-6.300696546086209082e+01
3.040000000000000000e+02,4.033705461081054722e+01,-6.393556667467836974e+01
3.060000000000000000e+02,4.092996691945142373e+01,-6.481545147554780328e+01
3.080000000000000000e+02,4.165061523341368854e+01,-6.556871067219299221e+01
3.100000000000000000e+02,4.249454490088236724e+01,-6.610906041646450149e+01
3.120000000000000000e+02,4.346470502000150304e+01,-6.642839478872792824e+01
3.140000000000000000e+02,4.456379556770228589e+01,-6.650766406860439872e+01
3.160000000000000000e+02,4.575255041004690071e+01,-6.627588483362981719e+01
3.180000000000000000e+02,4.697625155655030937e+01,-6.571158419972265108e+01
3.200000000000000000e+02,4.817604664582230356e+01,-6.484886369303362130e+01
3.220000000000000000e+02,4.935072542584957489e+01,-6.372678325757548379e+01
3.240000000000000000e+02,5.051801936150879868e+01,-6.235193793251222161e+01
3.260000000000000000e+02,5.165497776315589107e+01,-6.076255230972676458e+01
3.280000000000000000e+02,5.274572568549638873e+01,-5.901218748059577024e+01
3.300000000000000000e+02,5.378197368705139780e+01,-5.716597024143577244e+01
3.320000000000000000e+02,5.477376451869709939e+01,-5.520708530747137388e+01
3.340000000000000000e+02,5.573031350055136812e+01,-5.309350591111832784e+01
3.360000000000000000e+02,5.665141567677716239e+01,-5.086134045445035667e+01
3.380000000000000000e+02,5.754194713440728748e+01,-4.854782973831168391e+01
3.400000000000000000e+02,5.841146661227381287e+01,-4.619036227258627036e+01
3.420000000000000000e+02,5.925713237338788275e+01,-4.375464433301739575e+01
3.440000000000000000e+02,6.006453768829692308e+01,-4.118297636335928047e+01
3.460000000000000000e+02,6.082936405973042326e+01,-3.847800133731630012e+01
3.480000000000000000e+02,6.154748876301039218e+01,-3.564301672117348829e+01
3.500000000000000000e+02,6.221498348557041425e+01,-3.268218837794888287e+01
3.520000000000000000e+02,6.284465215526522286e+01,-2.962969746936504478e+01
3.540000000000000000e+02,6.344610570153742657e+01,-2.650644456212704725e+01
3.560000000000000000e+02,6.400888333757420412e+01,-2.330024370156005631e+01
3.580000000000000000e+02,6.452015552707440804e+01,-2.000388731767866801e+01
3.600000000000000000e+02,6.496505997107601615e+01,-1.661710797821616126e+01
3.620000000000000000e+02,6.534478205127173567e+01,-1.315554115612463271e+01
3.640000000000000000e+02,6.566769980008932350e+01,-9.640761004381136701e+00
3.660000000000000000e+02,6.592893224530922680e+01,-6.091046862196015432e+00
3.680000000000000000e+02,6.612432704191208188e+01,-2.528646310910157347e+00
3.700000000000000000e+02,6.625069801957727122e+01,1.020748397930343776e+00
3.720000000000000000e+02,6.631266967783810173e+01,4.538739118583330345e+00
3.740000000000000000e+02,6.631560337088879464e+01,8.013629986375217840e+00
3.760000000000000000e+02,6.625865708995708303e+01,1.142708492202487491e+01
3.780000000000000000e+02,6.614155621346498037e+01,1.476039325906708832e+01
3.800000000000000000e+02,6.596463640790265970e+01,1.799504940939094766e+01
3.820000000000000000e+02,6.573184302992596884e+01,2.111420137329751157e+01
3.840000000000000000e+02,6.545077074735671374e+01,2.411051965530275254e+01
3.860000000000000000e+02,6.512741689004170098e+01,2.698297419152916277e+01
3.880000000000000000e+02,6.476729158053593949e+01,2.973358495452150052e+01
3.900000000000000000e+02,6.437532050624692204e+01,3.236676300914476201e+01
3.920000000000000000e+02,6.395670833014562362e+01,3.488965325693052932e+01
3.940000000000000000e+02,6.351435971383396151e+01,3.729903552466141292e+01
3.960000000000000000e+02,6.304975426752299938e+01,3.958574007779576220e+01
3.980000000000000000e+02,6.256497129527009093e+01,4.174149422918343078e+01
4.000000000000000000e+02,6.206261653474972206e+01,4.375910392116526282e+01
4.020000000000000000e+02,6.154718943703567646e+01,4.564897912853781037e+01
4.040000000000000000e+02,6.102325469187098150e+01,4.742934210056730393e+01
4.060000000000000000e+02,6.049361250200077222e+01,4.910579179651556814e+01
4.080000000000000000e+02,5.996075196592616408e+01,5.068403519936827450e+01
4.100000000000000000e+02,5.942686800772465006e+01,5.216976553610684419e+01
4.120000000000000000e+02,5.889388111585954277e+01,5.356857129445222654e+01
4.140000000000000000e+02,5.836345856080662742e+01,5.488587073306651831e+01
4.160000000000000000e+02,5.783703609270166623e+01,5.612686697240338418e+01
4.180000000000000000e+02,5.731583939481858181e+01,5.729651933185734691e+01
4.200000000000000000e+02,5.680090478891079897e+01,5.839952722270648877e+01
4.220000000000000000e+02,5.629277635117384193e+01,5.944045955818163662e+01
4.240000000000000000e+02,5.579179433434732971e+01,6.042347338792894362e+01
4.260000000000000000e+02,5.529847305034600424e+01,6.135225765979085821e+01
4.280000000000000000e+02,5.481322302399460966e+01,6.223025322765619904e+01
4.300000000000000000e+02,5.433636370271876359e+01,6.306066560396016740e+01
4.320000000000000000e+02,5.386813486326155953e+01,6.384647854372168752e+01
4.340000000000000000e+02,5.340870680692459160e+01,6.459046792947219728e+01
4.360000000000000000e+02,5.295818943990507677e+01,6.529521557639255036e+01
4.380000000000000000e+02,5.251664033588708946e+01,6.596312269199187028e+01
4.400000000000000000e+02,5.208407187559134144e+01,6.659642281189036339e+01
4.420000000000000000e+02,5.166055324170203988e+01,6.719720706522157627e+01
4.440000000000000000e+02,5.124606487479734085e+01,6.776736125555159163e+01
4.460000000000000000e+02,5.084044340537654705e+01,6.830858967541088589e+01
4.480000000000000000e+02,5.044351150927432315e+01,6.882246856781495126e+01
4.500000000000000000e+02,5.005508104107963163e+01,6.931045679458851794e+01
4.520000000000000000e+02,4.967495571058555015e+01,6.977390555193726129e+01
