wavelength_nm,psi_deg,delta_deg,alpha,beta,chi,xi,energy_conservation
300.000000,39.450410,-62.087177,0.705166,-0.000000,-0.186784,0.078275,0.679239
302.000000,39.854962,-63.006965,0.716698,-0.000000,-0.182533,0.073013,0.655946
304.000000,40.337055,-63.935567,0.728498,-0.000000,-0.178164,0.066589,0.631680
306.000000,40.929967,-64.815451,0.739969,-0.000000,-0.173980,0.058480,0.607404
308.000000,41.650615,-65.568711,0.750166,-0.000000,-0.170392,0.048387,0.584045
310.000000,42.494545,-66.109060,0.757930,-0.000000,-0.167863,0.036342,0.562428
312.000000,43.464705,-66.428395,0.762920,-0.000000,-0.166431,0.022326,0.541995
314.000000,44.563796,-66.507664,0.764625,-0.000000,-0.166173,0.006348,0.522469
316.000000,45.752550,-66.275885,0.761951,-0.000000,-0.167428,-0.010934,0.504714
318.000000,46.976252,-65.711584,0.754511,-0.000000,-0.170246,-0.028597,0.489243
320.000000,48.176047,-64.848864,0.742762,-0.000000,-0.174372,-0.045673,0.476256
322.000000,49.350725,-63.726783,0.727263,-0.000000,-0.179506,-0.062065,0.465101
324.000000,50.518019,-62.351938,0.708164,-0.000000,-0.185488,-0.077960,0.455144
326.000000,51.654978,-60.762552,0.686107,-0.000000,-0.192020,-0.093006,0.446371
328.000000,52.745726,-59.012187,0.661925,-0.000000,-0.198766,-0.107003,0.438699
330.000000,53.781974,-57.165970,0.636548,-0.000000,-0.205381,-0.119896,0.432009
332.000000,54.773765,-55.207085,0.609907,-0.000000,-0.211892,-0.131846,0.426080
334.000000,55.730313,-53.093506,0.581645,-0.000000,-0.218407,-0.142977,0.420732
336.000000,56.651416,-50.861340,0.552272,-0.000000,-0.224719,-0.153347,0.415891
338.000000,57.541947,-48.547830,0.522258,-0.000000,-0.230639,-0.163083,0.411474
340.000000,58.411467,-46.190362,0.492019,-0.000000,-0.235994,-0.172373,0.407404
342.000000,59.257132,-43.754644,0.461293,-0.000000,-0.240898,-0.181189,0.403670
344.000000,60.064538,-41.182976,0.429664,-0.000000,-0.245548,-0.189348,0.400299
346.000000,60.829364,-38.478001,0.397264,-0.000000,-0.249911,-0.196845,0.397268
348.000000,61.547489,-35.643017,0.364212,-0.000000,-0.253960,-0.203679,0.394558
350.000000,62.214983,-32.682188,0.330620,-0.000000,-0.257673,-0.209855,0.392151
352.000000,62.844652,-29.629698,0.296780,-0.000000,-0.260899,-0.215592,0.389992
354.000000,63.446106,-26.506445,0.262868,-0.000000,-0.263541,-0.221052,0.388045
356.000000,64.008883,-23.300244,0.228833,-0.000000,-0.265669,-0.226139,0.386330
358.000000,64.520156,-20.003887,0.194661,-0.000000,-0.267357,-0.230734,0.384863
360.000000,64.965060,-16.617108,0.160372,-0.000000,-0.268686,-0.234698,0.383657
362.000000,65.344782,-13.155541,0.126043,-0.000000,-0.269634,-0.238085,0.382690
364.000000,65.667700,-9.640761,0.091777,-0.000000,-0.270140,-0.241024,0.381937
366.000000,65.928932,-6.091047,0.057674,-0.000000,-0.270232,-0.243482,0.381395
368.000000,66.124327,-2.528646,0.023842,-0.000000,-0.269943,-0.245427,0.381061
370.000000,66.250698,1.020748,-0.009597,0.000000,-0.269311,-0.246830,0.380930
372.000000,66.312670,4.538739,-0.042602,0.000000,-0.268335,-0.247742,0.380985
374.000000,66.315603,8.013630,-0.075181,0.000000,-0.267008,-0.248219,0.381211
376.000000,66.258657,11.427085,-0.107277,0.000000,-0.265371,-0.248236,0.381603
378.000000,66.141556,14.760393,-0.138831,0.000000,-0.263464,-0.247769,0.382153
380.000000,65.964636,17.995049,-0.169774,0.000000,-0.261332,-0.246794,0.382855
382.000000,65.731843,21.114201,-0.200029,0.000000,-0.259003,-0.245324,0.383696
384.000000,65.450771,24.110520,-0.229568,0.000000,-0.256477,-0.243415,0.384666
386.000000,65.127417,26.982974,-0.258403,0.000000,-0.253759,-0.241106,0.385755
388.000000,64.767292,29.733585,-0.286557,0.000000,-0.250852,-0.238433,0.386955
390.000000,64.375321,32.366763,-0.314059,0.000000,-0.247757,-0.235427,0.388260
392.000000,63.956708,34.889653,-0.340952,0.000000,-0.244465,-0.232127,0.389666
394.000000,63.514360,37.299035,-0.367180,0.000000,-0.241004,-0.228539,0.391166
396.000000,63.049754,39.585740,-0.392634,0.000000,-0.237427,-0.224650,0.392754
398.000000,62.564971,41.741494,-0.417203,0.000000,-0.233788,-0.220452,0.394419
400.000000,62.062617,43.759104,-0.440772,0.000000,-0.230145,-0.215946,0.396151
402.000000,61.547189,45.648979,-0.463378,0.000000,-0.226499,-0.211173,0.397943
404.000000,61.023255,47.429342,-0.485132,0.000000,-0.222822,-0.206188,0.399793
406.000000,60.493613,49.105792,-0.506035,0.000000,-0.219126,-0.201015,0.401694
408.000000,59.960752,50.684035,-0.526092,0.000000,-0.215423,-0.195679,0.403641
410.000000,59.426868,52.169766,-0.545312,0.000000,-0.211724,-0.190201,0.405629
412.000000,58.893881,53.568571,-0.563707,0.000000,-0.208039,-0.184605,0.407651
414.000000,58.363459,54.885871,-0.581292,0.000000,-0.204377,-0.178911,0.409703
416.000000,57.837036,56.126867,-0.598085,0.000000,-0.200745,-0.173139,0.411780
418.000000,57.315839,57.296519,-0.614106,0.000000,-0.197151,-0.167307,0.413879
420.000000,56.800905,58.399527,-0.629375,0.000000,-0.193601,-0.161432,0.415994
422.000000,56.292776,59.440460,-0.643920,0.000000,-0.190100,-0.155526,0.418123
424.000000,55.791794,60.423473,-0.657766,0.000000,-0.186653,-0.149598,0.420264
426.000000,55.298473,61.352258,-0.670936,0.000000,-0.183266,-0.143660,0.422414
428.000000,54.813223,62.230253,-0.683454,0.000000,-0.179942,-0.137723,0.424571
430.000000,54.336364,63.060666,-0.695341,0.000000,-0.176684,-0.131797,0.426732
432.000000,53.868135,63.846479,-0.706622,0.000000,-0.173495,-0.125892,0.428894
434.000000,53.408707,64.590468,-0.717319,0.000000,-0.170377,-0.120014,0.431056
436.000000,52.958189,65.295216,-0.727456,0.000000,-0.167333,-0.114173,0.433215
438.000000,52.516640,65.963123,-0.737054,0.000000,-0.164363,-0.108374,0.435370
440.000000,52.084072,66.596423,-0.746137,0.000000,-0.161469,-0.102623,0.437519
442.000000,51.660553,67.197207,-0.754725,0.000000,-0.158650,-0.096927,0.439659
444.000000,51.246065,67.767361,-0.762840,0.000000,-0.155908,-0.091291,0.441790
446.000000,50.840443,68.308590,-0.770502,0.000000,-0.153243,-0.085717,0.443910
448.000000,50.443512,68.822469,-0.777730,0.000000,-0.150655,-0.080209,0.446019
450.000000,50.055081,69.310457,-0.784543,0.000000,-0.148145,-0.074768,0.448115
452.000000,49.674956,69.773906,-0.790959,0.000000,-0.145713,-0.069395,0.450198
454.000000,49.302933,70.214067,-0.796994,0.000000,-0.143357,-0.064093,0.452268
456.000000,48.938808,70.632103,-0.802667,0.000000,-0.141079,-0.058861,0.454324
458.000000,48.582371,71.029092,-0.807991,0.000000,-0.138877,-0.053701,0.456365
460.000000,48.233413,71.406035,-0.812982,0.000000,-0.136752,-0.048613,0.458393
462.000000,47.891775,71.763798,-0.817655,0.000000,-0.134702,-0.043598,0.460405
464.000000,47.557378,72.103299,-0.822021,0.000000,-0.132727,-0.038659,0.462401
466.000000,47.230127,72.425523,-0.826098,0.000000,-0.130824,-0.033797,0.464381
468.000000,46.909915,72.731408,-0.829898,0.000000,-0.128993,-0.029013,0.466342
470.000000,46.596628,73.021845,-0.833436,0.000000,-0.127230,-0.024308,0.468285
472.000000,46.290142,73.297682,-0.836725,0.000000,-0.125533,-0.019684,0.470208
474.000000,45.990328,73.559729,-0.839778,0.000000,-0.123901,-0.015140,0.472112
476.000000,45.697049,73.808756,-0.842609,0.000000,-0.122330,-0.010677,0.473995
478.000000,45.410166,74.045500,-0.845228,0.000000,-0.120820,-0.006294,0.475856
480.000000,45.129532,74.270667,-0.847649,0.000000,-0.119366,-0.001991,0.477695
482.000000,44.854934,74.484695,-0.849879,0.000000,-0.117968,0.002233,0.479513
484.000000,44.586133,74.687872,-0.851926,0.000000,-0.116627,0.006381,0.481309
486.000000,44.322951,74.880632,-0.853798,0.000000,-0.115341,0.010453,0.483084
488.000000,44.065217,75.063383,-0.855503,0.000000,-0.114109,0.014451,0.484838
490.000000,43.812764,75.236509,-0.857049,0.000000,-0.112929,0.018376,0.486571
492.000000,43.565433,75.400375,-0.858443,0.000000,-0.111801,0.022229,0.488283
494.000000,43.323069,75.555324,-0.859691,0.000000,-0.110723,0.026012,0.489974
496.000000,43.085524,75.701681,-0.860801,0.000000,-0.109694,0.029726,0.491645
498.000000,42.852654,75.839753,-0.861778,0.000000,-0.108714,0.033373,0.493296
500.000000,42.624322,75.969831,-0.862629,0.000000,-0.107780,0.036952,0.494926
502.000000,42.400349,76.092227,-0.863359,0.000000,-0.106892,0.040467,0.496536
504.000000,42.180592,76.207263,-0.863973,0.000000,-0.106048,0.043919,0.498127
506.000000,41.964974,76.315227,-0.864479,0.000000,-0.105247,0.047308,0.499699
508.000000,41.753416,76.416401,-0.864880,0.000000,-0.104487,0.050634,0.501250
510.000000,41.545842,76.511056,-0.865182,0.000000,-0.103768,0.053900,0.502781
512.000000,41.342179,76.599453,-0.865391,0.000000,-0.103087,0.057104,0.504292
514.000000,41.142354,76.681847,-0.865511,0.000000,-0.102444,0.060249,0.505783
516.000000,40.946297,76.758485,-0.865546,0.000000,-0.101837,0.063334,0.507254
518.000000,40.753939,76.829608,-0.865501,0.000000,-0.101265,0.066360,0.508704
520.000000,40.565214,76.895446,-0.865381,0.000000,-0.100726,0.069328,0.510134
522.000000,40.379989,76.956132,-0.865188,0.000000,-0.100221,0.072239,0.511543
524.000000,40.198103,77.011779,-0.864926,0.000000,-0.099748,0.075096,0.512934
526.000000,40.019448,77.062582,-0.864596,0.000000,-0.099307,0.077901,0.514306
528.000000,39.843922,77.108727,-0.864204,0.000000,-0.098895,0.080654,0.515659
530.000000,39.671422,77.150392,-0.863751,0.000000,-0.098513,0.083357,0.516994
532.000000,39.501851,77.187748,-0.863241,0.000000,-0.098159,0.086011,0.518311
534.000000,39.335112,77.220960,-0.862677,0.000000,-0.097832,0.088618,0.519610
536.000000,39.171112,77.250183,-0.862060,0.000000,-0.097531,0.091179,0.520892
538.000000,39.009758,77.275569,-0.861394,0.000000,-0.097255,0.093695,0.522157
540.000000,38.850962,77.297263,-0.860681,0.000000,-0.097003,0.096168,0.523405
542.000000,38.694656,77.315415,-0.859923,0.000000,-0.096775,0.098598,0.524637
544.000000,38.540795,77.330140,-0.859123,0.000000,-0.096568,0.100987,0.525852
546.000000,38.389326,77.341522,-0.858283,0.000000,-0.096384,0.103335,0.527052
548.000000,38.240200,77.349644,-0.857403,0.000000,-0.096222,0.105642,0.528235
