# Aluminum (Al) optical constants
# Source: A. D. Rakic, Appl. Opt. 34, 4755 (1995)
# Retrieved from refractiveindex.info
wavelength_nm,n,k
200,0.130,2.340
210,0.145,2.520
220,0.162,2.710
230,0.182,2.890
240,0.208,3.080
250,0.242,3.270
260,0.260,3.430
270,0.277,3.580
280,0.284,3.610
290,0.287,3.630
300,0.280,3.610
320,0.299,3.730
340,0.320,3.950
360,0.347,4.190
380,0.390,4.440
400,0.490,4.860
420,0.567,5.220
440,0.621,5.560
460,0.659,5.870
480,0.703,6.040
500,0.770,6.080
520,0.826,6.210
540,0.856,6.430
560,0.893,6.660
580,0.944,6.880
600,1.020,7.260
620,1.120,7.440
640,1.240,7.500
660,1.380,7.540
680,1.490,7.570
700,1.510,7.630
720,1.560,7.670
740,1.690,7.660
760,1.830,7.660
780,1.970,7.660
800,2.130,7.670
850,2.320,7.900
900,2.370,8.310
950,2.380,8.710
1000,2.390,9.130
