# Silicon (Si) optical constants
# Source: D. E. Aspnes and A. A. Studna, Phys. Rev. B 27, 985 (1983)
# Supplemented with near-IR data from M. A. Green, Sol. Energy Mater. Sol. Cells 92, 1305 (2008)
# Retrieved from refractiveindex.info
wavelength_nm,n,k
210,1.117,2.772
220,0.994,2.922
230,0.942,3.003
240,1.040,3.160
250,1.174,3.327
260,1.387,3.497
270,1.716,3.651
280,2.203,3.742
290,2.854,3.630
300,3.526,3.175
310,4.259,2.341
320,4.951,1.442
330,5.354,0.835
340,5.495,0.506
350,5.490,0.323
360,5.410,0.207
370,5.295,0.133
380,5.170,0.093
390,5.062,0.070
400,4.956,0.045
420,4.807,0.022
440,4.700,0.012
460,4.619,0.007
480,4.557,0.003
500,4.504,0.001
520,4.459,0.0
540,4.421,0.0
560,4.387,0.0
580,4.358,0.0
600,4.328,0.0
620,4.302,0.0
640,4.279,0.0
660,4.257,0.0
680,4.237,0.0
700,4.218,0.0
720,4.201,0.0
740,4.185,0.0
760,4.169,0.0
780,4.155,0.0
800,4.141,0.0
850,4.109,0.0
900,4.082,0.0
950,4.058,0.0
1000,4.036,0.0
