# Silicon Nitride (Si3N4) optical constants
# Source: H. R. Philipp, J. Electrochem. Soc. 120, 295 (1973)
# Supplemented with data from K. Luke et al., Opt. Lett. 40, 4823 (2015)
# Retrieved from refractiveindex.info
wavelength_nm,n,k
200,2.320,0.310
210,2.280,0.220
220,2.250,0.160
230,2.220,0.110
240,2.200,0.070
250,2.180,0.040
260,2.165,0.020
270,2.155,0.010
280,2.148,0.004
300,2.136,0.0
320,2.126,0.0
340,2.118,0.0
360,2.112,0.0
380,2.107,0.0
400,2.103,0.0
420,2.099,0.0
440,2.096,0.0
460,2.093,0.0
480,2.090,0.0
500,2.088,0.0
520,2.086,0.0
540,2.084,0.0
560,2.082,0.0
580,2.080,0.0
600,2.079,0.0
620,2.077,0.0
640,2.076,0.0
660,2.074,0.0
680,2.073,0.0
700,2.072,0.0
720,2.071,0.0
740,2.069,0.0
760,2.068,0.0
780,2.067,0.0
800,2.066,0.0
850,2.064,0.0
900,2.062,0.0
950,2.060,0.0
1000,2.058,0.0
